Blog	four	second	here	how	re	tech	best	much	life	things	has	right	old	people	time	years	one	city	russia	say	take	many	putin	being	around	world	power	her	large	more	states	plane	its	obama	also	play	set	see	fire	be	into	up	us	video	this	high	could	site	off	work	after	them	they	what	do	we	was	live	can	not	now	year	than	online	only	between	these	food	real	amp	t	your	you	very	family	help	american	during	close	look	while	used	game	some	may	need	so	based	state	police	i	utah	home	washington	he	star	even	president	before	m	said	three	near	if	make	just	down	died	texas	killed	where	first	were	show	get	according	students	u	children	public	two	through	late	trooper	least	park	most	back	body	day	south	have	national	like	about	but	under	every	york	my	end	over	saturday	murder	report	news	been	several	donald	election	no	says	water	today	trump	she	college	week	when	or	there	all	program	list	design	might	weight	health	his	are	long	called	app	use	our	out	their	which	who	last	will	other	because	own	made
Unknown	4	1	2	2	6	0	0	0	2	0	3	0	0	0	2	0	4	0	0	0	0	1	2	1	0	4	0	3	0	0	0	2	1	0	0	2	0	0	2	6	6	8	1	1	6	2	0	0	3	0	3	1	3	4	2	2	2	4	3	4	1	10	0	0	1	2	3	4	0	0	8	11	16	1	3	1	2	1	0	0	0	0	6	3	2	0	0	2	0	0	22	0	3	2	2	4	0	1	2	1	1	0	0	0	1	5	2	0	2	0	0	5	2	0	2	2	0	0	0	0	2	2	0	0	4	0	3	2	0	0	2	5	0	2	0	3	0	4	0	49	0	3	0	0	2	0	0	0	2	3	5	0	3	0	8	4	2	0	2	5	2	4	0	2	0	0	0	4	0	4	0	1	0	0	1	7	1	4	6	0	7	2	3	6	4
ASCD SmartBrief	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	1	1	0	2	0	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	1	0	0	0	0	0	1	0	0	0	0	2	0	0	3	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	6	0	0	0	0
FRONTLINE - Latest Stories	0	0	0	2	1	0	0	0	3	0	8	0	0	2	1	3	1	0	1	2	0	1	2	1	0	1	1	0	0	2	1	0	3	4	0	0	0	0	0	1	6	0	0	0	3	0	0	0	1	1	4	2	2	7	1	1	5	0	0	3	1	3	2	5	2	0	0	0	0	0	1	0	0	0	1	1	2	1	0	0	0	1	0	4	0	0	0	1	0	2	1	0	0	1	3	0	0	2	0	0	0	0	0	1	1	3	0	0	0	1	0	0	3	0	0	1	0	7	2	0	1	2	1	0	1	0	2	1	0	0	0	2	0	1	5	8	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	2	7	0	1	0	0	0	1	4	1	3	0	0	0	0	0	0
Education : NPR	0	0	2	2	1	4	0	0	1	0	1	0	1	2	1	1	0	0	0	0	1	2	0	0	0	2	1	0	0	2	0	0	1	1	0	0	0	0	0	3	1	0	1	0	1	1	0	0	1	0	1	2	2	5	3	3	1	1	5	0	1	0	0	1	0	0	1	0	0	0	2	1	3	0	1	2	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	4	1	2	0	0	1	2	0	0	0	2	0	1	0	0	1	0	0	0	0	0	3	1	5	1	3	3	2	0	2	0	0	0	0	7	0	0	0	2	0	3	3	0	3	0	2	0	0	2	0
Utah - The Salt Lake Tribune	1	4	3	5	3	0	3	2	4	1	7	0	8	3	5	1	11	8	0	4	3	1	0	3	3	1	0	18	0	7	2	0	2	1	2	1	0	1	0	8	5	3	0	0	11	0	7	0	1	0	7	2	11	3	2	9	20	1	3	6	2	13	2	0	1	0	0	0	1	12	6	2	6	0	6	3	1	3	3	4	1	2	1	2	2	1	4	0	7	15	14	23	2	0	19	0	4	5	3	10	14	2	4	5	4	2	1	6	0	1	2	7	4	2	3	6	0	0	2	4	2	1	0	0	2	3	4	1	1	3	0	13	6	3	5	5	2	1	0	4	1	2	9	2	1	0	4	1	2	0	3	4	0	1	4	11	0	3	10	9	1	2	0	2	0	2	0	2	11	10	2	3	0	1	0	3	5	4	9	1	9	1	4	0	0
Nature - Issue - nature.com science feeds	3	0	15	6	0	0	2	2	0	0	15	0	1	3	2	5	5	1	0	0	2	4	0	0	3	4	0	7	5	8	3	0	7	0	10	0	0	5	0	13	6	7	4	0	12	5	9	2	2	3	2	0	9	0	2	23	8	2	13	10	1	6	12	1	4	5	16	3	0	0	8	1	1	2	4	3	0	2	0	0	2	1	0	3	6	2	2	2	5	0	8	0	0	0	1	0	1	1	2	2	0	2	1	3	1	0	1	0	0	0	3	3	2	12	1	0	0	0	0	1	5	3	0	0	0	0	5	0	5	1	0	19	0	4	4	12	4	0	0	1	2	2	0	0	5	4	14	1	1	2	3	0	7	0	2	1	1	2	2	7	3	4	2	0	4	3	4	3	1	29	3	2	0	4	8	1	9	15	1	1	4	8	3	0	2
NOVA | PBS	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	2	0	0	0	0	1	1	4	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	1
CNN.com - RSS Channel - Mobile App Manual	0	2	2	2	1	0	5	0	1	2	14	0	2	8	3	4	6	4	4	2	3	3	6	3	4	3	2	2	0	3	1	5	1	10	1	2	0	4	2	5	0	6	14	2	3	0	5	0	2	1	7	2	2	4	3	3	9	0	1	5	1	20	3	1	2	0	0	0	1	0	3	1	2	3	2	1	1	1	2	7	1	1	1	2	1	1	0	0	6	7	1	0	0	0	7	1	4	15	2	3	6	3	2	1	0	1	1	6	3	4	1	3	4	1	0	6	0	0	0	2	3	3	0	2	3	3	0	3	1	3	3	7	0	0	1	2	0	0	3	0	2	6	6	0	2	2	4	0	12	4	2	1	0	0	25	0	1	4	2	2	0	1	0	2	0	0	0	2	19	5	0	0	0	1	0	4	3	0	5	2	3	1	0	0	2
Latest Science News -- ScienceDaily	1	4	1	8	1	0	0	3	0	0	8	2	0	3	7	3	12	0	0	1	1	2	0	3	3	4	1	0	4	10	5	0	2	0	3	2	1	1	3	26	6	1	2	0	15	5	9	0	0	0	6	3	9	2	1	2	6	0	20	7	5	7	8	0	1	3	4	8	2	0	3	4	4	2	1	1	1	4	0	1	1	5	0	1	10	3	2	5	1	0	0	0	0	2	0	0	3	0	4	1	1	2	1	1	5	3	2	0	0	0	1	2	3	1	0	6	2	1	2	0	0	2	4	0	0	0	5	1	1	1	1	14	2	1	5	6	1	1	0	0	0	2	0	0	2	0	4	1	0	0	4	2	2	1	0	0	3	0	4	7	3	1	4	0	0	1	2	8	0	11	5	6	0	9	5	3	11	3	2	1	6	2	4	1	0
Movies : NPR	0	0	0	0	0	0	2	1	0	0	1	1	1	0	2	1	1	1	0	0	2	0	0	0	1	0	1	0	0	1	0	0	1	0	0	2	2	0	0	0	0	2	0	0	3	0	1	0	0	1	0	0	2	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	2	0	3	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	4	4	1	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	1	3	0	1	0	1	0	1	0	0	0	6	0	0	0	0	0	1	1	2	3	3	2	0	0	0	0	1
